Time,Open,High,Low,Close,Volume
09.01.2018 18:30:00.000 GMT+0330,1309.878,1312.979,1309.819,1311.721,6431799.889
09.01.2018 19:30:00.000 GMT+0330,1311.712,1312.441,1310.379,1310.998,5389420.033
09.01.2018 20:30:00.000 GMT+0330,1311.018,1311.849,1310.048,1311.768,4099349.976
09.01.2018 21:30:00.000 GMT+0330,1311.798,1312.882,1311.462,1312.719,3742019.892
09.01.2018 22:30:00.000 GMT+0330,1312.728,1315.768,1312.691,1313.671,3938709.974
09.01.2018 23:30:00.000 GMT+0330,1313.671,1314.309,1312.801,1313.919,2498509.884
10.01.2018 00:30:00.000 GMT+0330,1313.898,1314.209,1311.769,1311.848,1420390.01
10.01.2018 01:30:00.000 GMT+0330,1311.848,1311.848,1311.848,1311.848,0
10.01.2018 02:30:00.000 GMT+0330,1312.292,1312.292,1310.301,1310.332,2050499.916
10.01.2018 03:30:00.000 GMT+0330,1310.339,1310.802,1309.252,1310.301,3281699.896
10.01.2018 04:30:00.000 GMT+0330,1310.301,1311.212,1308.168,1311.182,4288010.12
10.01.2018 05:30:00.000 GMT+0330,1311.141,1312.482,1310.498,1312.322,2798140.049
10.01.2018 06:30:00.000 GMT+0330,1312.322,1312.322,1310.351,1310.561,2986259.937
10.01.2018 07:30:00.000 GMT+0330,1310.561,1310.842,1309.448,1310.529,2611749.888
10.01.2018 08:30:00.000 GMT+0330,1310.548,1311.308,1309.649,1309.652,3130069.971
10.01.2018 09:30:00.000 GMT+0330,1309.652,1310.699,1309.078,1310.041,4093140.125
10.01.2018 10:30:00.000 GMT+0330,1310.008,1311.691,1309.822,1311.271,5357439.995
10.01.2018 11:30:00.000 GMT+0330,1311.252,1314.872,1311.218,1314.062,6752729.893
10.01.2018 12:30:00.000 GMT+0330,1314.062,1315.512,1313.919,1314.562,5207290.173
10.01.2018 13:30:00.000 GMT+0330,1314.561,1322.698,1314.151,1321.199,7814705.849
10.01.2018 14:30:00.000 GMT+0330,1321.199,1327.691,1321.189,1323.761,7123620.033
10.01.2018 15:30:00.000 GMT+0330,1323.761,1325.452,1321.248,1322.499,6278460.026
10.01.2018 16:30:00.000 GMT+0330,1322.558,1323.502,1318.311,1319.702,8326310.158
10.01.2018 17:30:00.000 GMT+0330,1319.701,1320.992,1314.631,1317.711,8472929.955
10.01.2018 18:30:00.000 GMT+0330,1317.712,1320.332,1317.398,1319.179,7547009.945
10.01.2018 19:30:00.000 GMT+0330,1319.208,1319.548,1315.681,1317.131,6840710.163
10.01.2018 20:30:00.000 GMT+0330,1317.121,1317.999,1316.338,1317.772,5326670.17
10.01.2018 21:30:00.000 GMT+0330,1317.771,1319.242,1317.762,1318.391,3900000.095
10.01.2018 22:30:00.000 GMT+0330,1318.401,1319.258,1316.759,1319.008,4571990.013
10.01.2018 23:30:00.000 GMT+0330,1319.009,1320.379,1317.388,1317.431,2953720.093
11.01.2018 00:30:00.000 GMT+0330,1317.419,1317.758,1316.041,1316.391,1650979.996
11.01.2018 01:30:00.000 GMT+0330,1316.391,1316.391,1316.391,1316.391,0
11.01.2018 02:30:00.000 GMT+0330,1316.571,1317.832,1316.121,1317.722,2401370.049
11.01.2018 03:30:00.000 GMT+0330,1317.721,1318.962,1317.719,1318.881,4167890.072
11.01.2018 04:30:00.000 GMT+0330,1318.881,1318.882,1317.238,1318.061,3410029.888
11.01.2018 05:30:00.000 GMT+0330,1318.062,1320.091,1317.861,1320.088,2543190.002
11.01.2018 06:30:00.000 GMT+0330,1320.081,1320.777,1318.859,1319.102,3357249.975
11.01.2018 07:30:00.000 GMT+0330,1319.182,1319.472,1316.542,1317.512,3704449.892
11.01.2018 08:30:00.000 GMT+0330,1317.581,1318.589,1316.668,1317.882,3936559.916
11.01.2018 09:30:00.000 GMT+0330,1317.882,1319.452,1316.831,1317.941,3491739.988
11.01.2018 10:30:00.000 GMT+0330,1317.951,1318.411,1315.678,1316.701,5286660.194
